序列号,店铺名称,店铺所在城市,区域,地址,电话,商户头像,店铺URL,人均消费_元,菜系,口味,环境,服务,点评数量_条,商户评分
40,第六季自助餐厅(北太平庄店),北京,北太平庄,豪威大厦,,,http://www.dianping.com/shop/48108002,252,自助餐,9.1,9.0,9.2,6842,五星商户
41,湘爱(工体店),北京,工人体育场,工人体育场东门辅路向南150米,,,http://www.dianping.com/shop/75186951,457,湘菜,9.1,9.4,9.4,373,五星商户
42,然寿司(钱粮胡同店),北京,东四,钱粮胡同东口16-2号,,,http://www.dianping.com/shop/5279332,1500,日本菜,9.3,9.2,9.2,649,五星商户
43,又一福烤鸭店,北京,东四,东四北大街隆福寺东口537号,,,http://www.dianping.com/shop/67099226,90,北京菜,8.6,8.7,8.6,503,准五星商户
44,珍滋味港式粥火锅(工体店),北京,三里屯,工人体育场东路丙2号中国红街3号楼2层里,,,http://www.dianping.com/shop/6232395,243,火锅,9.2,9.0,9.3,4105,五星商户
45,九十九顶毡房(清河店),北京,清河,东升乡马坊村永泰庄北路9号（北五环林萃桥北第四个红绿灯左转）,,,http://www.dianping.com/shop/3456277,219,其他美食,9.1,9.2,9.1,12971,五星商户
46,那家小馆(中关村店),北京,中关村,丹棱街甲1号互联网金融中心大厦B1层,,,http://www.dianping.com/shop/22409793,127,北京菜,9.0,9.2,9.1,6343,五星商户
47,牛排家(三里屯店),北京,三里屯,三里屯南路通盈中心3层,,,http://www.dianping.com/shop/66641167,407,西餐,9.0,9.3,9.2,3965,五星商户
48,望京小腰老店,北京,望京,湖光北街南湖中园211楼3层京客隆超市3楼,,,http://www.dianping.com/shop/23009165,83,烧烤,8.6,7.8,8.3,3896,准五星商户
49,淮扬府(安定门店),北京,安定门,安定门外大街198号,,,http://www.dianping.com/shop/5188952,218,江浙菜,9.0,9.1,9.0,2850,五星商户
50,小大董(五棵松华熙LIVE·),北京,五棵松,复兴路69号五棵松华熙LIVE商区东区B1层,,,http://www.dianping.com/shop/92715675,142,北京菜,9.0,9.1,9.1,1242,五星商户
51,熔时·FIRESIDE(世界城店),北京,朝外大街,金汇路9号E座1层E132-E222-E232,,,http://www.dianping.com/shop/77589258,168,创意菜,8.8,9.2,9.0,984,五星商户
52,四叶寿司(中关村店),北京,中关村,科学院南路2号融科资讯大厦A座底商103,,,http://www.dianping.com/shop/95883028,996,日本菜,9.2,9.3,9.3,141,五星商户
53,徽州小镇(鼓楼大街店),北京,安定门,安德路甲61号,,,http://www.dianping.com/shop/56585097,152,徽菜,9.1,9.2,8.9,876,五星商户
54,8号苑(西单总店),北京,西单,太仆寺街71号,,,http://www.dianping.com/shop/97309534,99,火锅,9.1,9.2,9.1,357,五星商户
55,聚宝源(牛街北口店),北京,牛街,牛街西里商业1号楼5-2号,,,http://www.dianping.com/shop/513329,107,火锅,9.1,7.6,7.8,18987,准五星商户
56,有璟阁港式餐厅(三里屯店),北京,三里屯,工人体育场12号看台对面,,,http://www.dianping.com/shop/22574666,118,粤菜,8.8,9.1,8.7,8014,五星商户
57,四季民福烤鸭店(灯市口店),北京,王府井/东单,灯市口西街32号东华饭店1楼,,,http://www.dianping.com/shop/510377,136,北京菜,9.1,8.9,9.0,8842,五星商户
